Cliente,Latitude,Longetute,altidude,InicioJanela,FinalJanela,ItemID,Comprimento,Altura,Largura,Peso,PesoEmpilhavel,rotacao,Volume
0,2,0,200,255,275,28000,30,0,90
Deposito,40,50,0,0,1236,0,0,0,0,0,0,0,0
Cliente_1,45,68,0,885,994,0,0,0,0,0,0,0,10
Cliente_2,45,70,0,802,893,0,0,0,0,0,0,0,30
Cliente_3,42,66,0,25,186,0,0,0,0,0,0,0,10
Cliente_4,42,68,0,699,810,0,0,0,0,0,0,0,10
Cliente_5,42,65,0,15,120,0,0,0,0,0,0,0,10
Cliente_6,40,69,0,580,743,0,0,0,0,0,0,0,20
Cliente_7,40,66,0,142,253,0,0,0,0,0,0,0,20
Cliente_8,38,68,0,220,359,0,0,0,0,0,0,0,20
Cliente_9,38,70,0,499,640,0,0,0,0,0,0,0,10
Cliente_10,35,66,0,331,436,0,0,0,0,0,0,0,10
Cliente_11,35,69,0,420,533,0,0,0,0,0,0,0,10
Cliente_12,25,85,0,617,756,0,0,0,0,0,0,0,20
Cliente_13,22,75,0,30,155,0,0,0,0,0,0,0,30
Cliente_14,22,85,0,541,646,0,0,0,0,0,0,0,10
Cliente_15,20,80,0,362,451,0,0,0,0,0,0,0,40
Cliente_16,20,85,0,448,555,0,0,0,0,0,0,0,40
Cliente_17,18,75,0,75,172,0,0,0,0,0,0,0,20
Cliente_18,15,75,0,142,291,0,0,0,0,0,0,0,20
Cliente_19,15,80,0,244,379,0,0,0,0,0,0,0,10
Cliente_20,30,50,0,10,137,0,0,0,0,0,0,0,10
Cliente_21,30,52,0,888,991,0,0,0,0,0,0,0,20
Cliente_22,28,52,0,776,919,0,0,0,0,0,0,0,20
Cliente_23,28,55,0,709,800,0,0,0,0,0,0,0,10
Cliente_24,25,50,0,25,184,0,0,0,0,0,0,0,10
Cliente_25,25,52,0,142,251,0,0,0,0,0,0,0,40
Cliente_26,25,55,0,582,741,0,0,0,0,0,0,0,10
Cliente_27,23,52,0,234,343,0,0,0,0,0,0,0,10
Cliente_28,23,55,0,523,616,0,0,0,0,0,0,0,20
Cliente_29,20,50,0,335,428,0,0,0,0,0,0,0,10
Cliente_30,20,55,0,422,531,0,0,0,0,0,0,0,10
Cliente_31,10,35,0,181,256,0,0,0,0,0,0,0,20
Cliente_32,10,40,0,31,170,0,0,0,0,0,0,0,30
Cliente_33,8,40,0,52,193,0,0,0,0,0,0,0,40
Cliente_34,8,45,0,719,848,0,0,0,0,0,0,0,20
Cliente_35,5,35,0,252,375,0,0,0,0,0,0,0,10
Cliente_36,5,45,0,639,742,0,0,0,0,0,0,0,10
Cliente_37,2,40,0,357,460,0,0,0,0,0,0,0,20
Cliente_38,0,40,0,457,544,0,0,0,0,0,0,0,30
Cliente_39,0,45,0,538,653,0,0,0,0,0,0,0,20
Cliente_40,35,30,0,236,349,0,0,0,0,0,0,0,10
Cliente_41,35,32,0,132,269,0,0,0,0,0,0,0,10
Cliente_42,33,32,0,27,190,0,0,0,0,0,0,0,20
Cliente_43,33,35,0,16,144,0,0,0,0,0,0,0,10
Cliente_44,32,30,0,332,439,0,0,0,0,0,0,0,10
Cliente_45,30,30,0,512,629,0,0,0,0,0,0,0,10
Cliente_46,30,32,0,417,540,0,0,0,0,0,0,0,30
Cliente_47,30,35,0,982,1127,0,0,0,0,0,0,0,10
Cliente_48,28,30,0,601,724,0,0,0,0,0,0,0,10
Cliente_49,28,35,0,969,1098,0,0,0,0,0,0,0,10
Cliente_50,26,32,0,783,912,0,0,0,0,0,0,0,10
Cliente_51,25,30,0,695,816,0,0,0,0,0,0,0,10
Cliente_52,25,35,0,883,998,0,0,0,0,0,0,0,10
Cliente_53,44,5,0,255,378,0,0,0,0,0,0,0,20
Cliente_54,42,10,0,150,293,0,0,0,0,0,0,0,40
Cliente_55,42,15,0,63,190,0,0,0,0,0,0,0,10
Cliente_56,40,5,0,359,462,0,0,0,0,0,0,0,30
Cliente_57,40,15,0,35,140,0,0,0,0,0,0,0,40
Cliente_58,38,5,0,439,566,0,0,0,0,0,0,0,30
Cliente_59,38,15,0,607,784,0,0,0,0,0,0,0,10
Cliente_60,35,5,0,529,662,0,0,0,0,0,0,0,20
