Cliente,Latitude,Longetute,altidude,InicioJanela,FinalJanela,ItemID,Comprimento,Altura,Largura,Peso,PesoEmpilhavel,rotacao,Volume
0,2,0,1000,255,275,28000,30,0,10
deposito,35,35,0,0,1000,0,0,0,0,0,0,0,0
Cliente_1,41,49,0,707,848,0,0,0,0,0,0,0,10
Cliente_2,35,17,0,143,282,0,0,0,0,0,0,0,7
Cliente_3,55,45,0,527,584,0,0,0,0,0,0,0,13
Cliente_4,55,20,0,678,801,0,0,0,0,0,0,0,19
Cliente_5,15,30,0,34,209,0,0,0,0,0,0,0,26
Cliente_6,25,30,0,415,514,0,0,0,0,0,0,0,3
Cliente_7,20,50,0,331,410,0,0,0,0,0,0,0,5
Cliente_8,10,43,0,404,481,0,0,0,0,0,0,0,9
Cliente_9,55,60,0,400,497,0,0,0,0,0,0,0,16
Cliente_10,30,60,0,577,632,0,0,0,0,0,0,0,16
Cliente_11,20,65,0,206,325,0,0,0,0,0,0,0,12
Cliente_12,50,35,0,228,345,0,0,0,0,0,0,0,19
Cliente_13,30,25,0,690,827,0,0,0,0,0,0,0,23
Cliente_14,15,10,0,32,243,0,0,0,0,0,0,0,20
Cliente_15,30,5,0,175,300,0,0,0,0,0,0,0,8
Cliente_16,10,20,0,272,373,0,0,0,0,0,0,0,19
Cliente_17,5,30,0,733,870,0,0,0,0,0,0,0,2
Cliente_18,20,40,0,377,434,0,0,0,0,0,0,0,12
Cliente_19,15,60,0,269,378,0,0,0,0,0,0,0,17
Cliente_20,45,65,0,581,666,0,0,0,0,0,0,0,9
Cliente_21,45,20,0,214,331,0,0,0,0,0,0,0,11
Cliente_22,45,10,0,409,494,0,0,0,0,0,0,0,18
Cliente_23,55,5,0,206,325,0,0,0,0,0,0,0,29
Cliente_24,65,35,0,704,847,0,0,0,0,0,0,0,3
Cliente_25,65,20,0,817,956,0,0,0,0,0,0,0,6
Cliente_26,45,30,0,588,667,0,0,0,0,0,0,0,17
Cliente_27,35,40,0,104,255,0,0,0,0,0,0,0,16
Cliente_28,41,37,0,114,255,0,0,0,0,0,0,0,16
Cliente_29,64,42,0,190,313,0,0,0,0,0,0,0,9
Cliente_30,40,60,0,259,354,0,0,0,0,0,0,0,21
Cliente_31,31,52,0,152,275,0,0,0,0,0,0,0,27
Cliente_32,35,69,0,660,777,0,0,0,0,0,0,0,23
Cliente_33,53,52,0,45,200,0,0,0,0,0,0,0,11
Cliente_34,65,55,0,529,614,0,0,0,0,0,0,0,14
Cliente_35,63,65,0,686,813,0,0,0,0,0,0,0,8
Cliente_36,2,60,0,41,208,0,0,0,0,0,0,0,5
Cliente_37,20,20,0,606,693,0,0,0,0,0,0,0,8
Cliente_38,5,5,0,302,405,0,0,0,0,0,0,0,16
Cliente_39,60,12,0,33,224,0,0,0,0,0,0,0,31
Cliente_40,40,25,0,360,437,0,0,0,0,0,0,0,9
Cliente_41,42,7,0,396,511,0,0,0,0,0,0,0,5
Cliente_42,24,12,0,25,172,0,0,0,0,0,0,0,5
Cliente_43,23,3,0,620,705,0,0,0,0,0,0,0,7
Cliente_44,11,14,0,233,340,0,0,0,0,0,0,0,18
Cliente_45,6,38,0,29,189,0,0,0,0,0,0,0,16
Cliente_46,2,48,0,515,628,0,0,0,0,0,0,0,1
Cliente_47,8,56,0,85,250,0,0,0,0,0,0,0,27
Cliente_48,13,52,0,773,906,0,0,0,0,0,0,0,36
Cliente_49,6,68,0,501,540,0,0,0,0,0,0,0,30
Cliente_50,47,47,0,547,642,0,0,0,0,0,0,0,13
Cliente_51,49,58,0,348,453,0,0,0,0,0,0,0,10
Cliente_52,27,43,0,174,299,0,0,0,0,0,0,0,9
Cliente_53,37,31,0,414,489,0,0,0,0,0,0,0,14
Cliente_54,57,29,0,641,734,0,0,0,0,0,0,0,18
Cliente_55,63,23,0,620,739,0,0,0,0,0,0,0,2
Cliente_56,53,12,0,585,692,0,0,0,0,0,0,0,6
Cliente_57,32,12,0,421,530,0,0,0,0,0,0,0,7
Cliente_58,36,26,0,849,980,0,0,0,0,0,0,0,18
Cliente_59,21,24,0,17,229,0,0,0,0,0,0,0,28
Cliente_60,17,34,0,721,862,0,0,0,0,0,0,0,3
Cliente_61,12,24,0,290,377,0,0,0,0,0,0,0,13
Cliente_62,24,58,0,163,302,0,0,0,0,0,0,0,19
Cliente_63,27,69,0,34,191,0,0,0,0,0,0,0,10
Cliente_64,15,77,0,214,333,0,0,0,0,0,0,0,9
Cliente_65,62,77,0,49,188,0,0,0,0,0,0,0,20
Cliente_66,49,73,0,592,693,0,0,0,0,0,0,0,25
Cliente_67,67,5,0,294,401,0,0,0,0,0,0,0,25
Cliente_68,56,39,0,637,752,0,0,0,0,0,0,0,36
Cliente_69,37,47,0,162,293,0,0,0,0,0,0,0,6
Cliente_70,37,56,0,788,968,0,0,0,0,0,0,0,5
Cliente_71,57,68,0,268,367,0,0,0,0,0,0,0,15
Cliente_72,47,16,0,31,208,0,0,0,0,0,0,0,25
Cliente_73,44,17,0,308,399,0,0,0,0,0,0,0,9
Cliente_74,46,13,0,681,802,0,0,0,0,0,0,0,8
Cliente_75,49,11,0,236,345,0,0,0,0,0,0,0,18
Cliente_76,49,42,0,290,373,0,0,0,0,0,0,0,13
Cliente_77,53,43,0,817,952,0,0,0,0,0,0,0,14
Cliente_78,61,52,0,384,499,0,0,0,0,0,0,0,3
Cliente_79,57,48,0,388,465,0,0,0,0,0,0,0,23
Cliente_80,56,37,0,839,968,0,0,0,0,0,0,0,6
Cliente_81,55,54,0,411,456,0,0,0,0,0,0,0,26
Cliente_82,15,47,0,162,289,0,0,0,0,0,0,0,16
Cliente_83,14,37,0,96,249,0,0,0,0,0,0,0,11
Cliente_84,11,31,0,436,511,0,0,0,0,0,0,0,7
Cliente_85,16,22,0,376,461,0,0,0,0,0,0,0,41
Cliente_86,4,18,0,388,465,0,0,0,0,0,0,0,35
Cliente_87,28,18,0,420,447,0,0,0,0,0,0,0,26
Cliente_88,26,52,0,279,388,0,0,0,0,0,0,0,9
Cliente_89,26,35,0,755,920,0,0,0,0,0,0,0,15
Cliente_90,31,67,0,392,487,0,0,0,0,0,0,0,3
Cliente_91,15,19,0,739,866,0,0,0,0,0,0,0,1
Cliente_92,22,22,0,18,181,0,0,0,0,0,0,0,2
Cliente_93,18,24,0,811,969,0,0,0,0,0,0,0,22
Cliente_94,26,27,0,436,503,0,0,0,0,0,0,0,27
Cliente_95,25,24,0,92,231,0,0,0,0,0,0,0,20
Cliente_96,22,27,0,607,690,0,0,0,0,0,0,0,11
Cliente_97,25,21,0,612,673,0,0,0,0,0,0,0,12
Cliente_98,19,21,0,183,306,0,0,0,0,0,0,0,10
Cliente_99,20,26,0,333,432,0,0,0,0,0,0,0,9
