Cliente,Latitude,Longetute,altidude,InicioJanela,FinalJanela,ItemID,Comprimento,Altura,Largura,Peso,PesoEmpilhavel,rotacao,Volume
0,2,0,1000,255,275,28000,30,0,10
deposito,40,50,0,0,960,0,0,0,0,0,0,0,0
Cliente_1,25,85,0,388,911,0,0,0,0,0,0,0,20
Cliente_2,22,75,0,30,546,0,0,0,0,0,0,0,30
Cliente_3,22,85,0,353,708,0,0,0,0,0,0,0,10
Cliente_4,20,80,0,425,913,0,0,0,0,0,0,0,40
Cliente_5,20,85,0,40,630,0,0,0,0,0,0,0,20
Cliente_6,18,75,0,228,667,0,0,0,0,0,0,0,20
Cliente_7,15,75,0,161,558,0,0,0,0,0,0,0,20
Cliente_8,15,80,0,229,624,0,0,0,0,0,0,0,10
Cliente_9,10,35,0,213,648,0,0,0,0,0,0,0,20
Cliente_10,10,40,0,404,753,0,0,0,0,0,0,0,30
Cliente_11,8,40,0,33,511,0,0,0,0,0,0,0,40
Cliente_12,8,45,0,46,519,0,0,0,0,0,0,0,20
Cliente_13,5,35,0,395,911,0,0,0,0,0,0,0,10
Cliente_14,5,45,0,35,697,0,0,0,0,0,0,0,10
Cliente_15,2,40,0,39,528,0,0,0,0,0,0,0,20
Cliente_16,0,40,0,94,535,0,0,0,0,0,0,0,20
Cliente_17,0,45,0,394,909,0,0,0,0,0,0,0,20
Cliente_18,44,5,0,218,571,0,0,0,0,0,0,0,20
Cliente_19,42,10,0,85,542,0,0,0,0,0,0,0,40
Cliente_20,42,15,0,391,802,0,0,0,0,0,0,0,10
Cliente_21,40,5,0,45,517,0,0,0,0,0,0,0,10
Cliente_22,40,15,0,229,640,0,0,0,0,0,0,0,40
Cliente_23,38,5,0,45,523,0,0,0,0,0,0,0,30
Cliente_24,38,15,0,389,914,0,0,0,0,0,0,0,10
Cliente_25,35,5,0,386,904,0,0,0,0,0,0,0,20
Cliente_26,95,30,0,389,788,0,0,0,0,0,0,0,30
Cliente_27,95,35,0,57,600,0,0,0,0,0,0,0,20
Cliente_28,92,30,0,55,575,0,0,0,0,0,0,0,10
Cliente_29,90,35,0,52,536,0,0,0,0,0,0,0,10
Cliente_30,88,30,0,90,521,0,0,0,0,0,0,0,10
Cliente_31,88,35,0,50,534,0,0,0,0,0,0,0,20
Cliente_32,87,30,0,425,898,0,0,0,0,0,0,0,10
Cliente_33,85,25,0,51,602,0,0,0,0,0,0,0,10
Cliente_34,85,35,0,342,751,0,0,0,0,0,0,0,30
Cliente_35,67,85,0,410,905,0,0,0,0,0,0,0,20
Cliente_36,65,85,0,43,617,0,0,0,0,0,0,0,40
Cliente_37,65,82,0,410,823,0,0,0,0,0,0,0,10
Cliente_38,62,80,0,114,561,0,0,0,0,0,0,0,30
Cliente_39,60,80,0,36,658,0,0,0,0,0,0,0,10
Cliente_40,60,85,0,191,586,0,0,0,0,0,0,0,30
Cliente_41,58,75,0,201,670,0,0,0,0,0,0,0,20
Cliente_42,55,80,0,33,568,0,0,0,0,0,0,0,10
Cliente_43,55,85,0,429,838,0,0,0,0,0,0,0,20
Cliente_44,55,82,0,49,504,0,0,0,0,0,0,0,10
Cliente_45,20,82,0,37,597,0,0,0,0,0,0,0,10
Cliente_46,18,80,0,315,782,0,0,0,0,0,0,0,10
Cliente_47,2,45,0,38,606,0,0,0,0,0,0,0,10
Cliente_48,42,5,0,396,904,0,0,0,0,0,0,0,10
Cliente_49,42,12,0,341,658,0,0,0,0,0,0,0,10
